family,measurement_version,figure_package_version,panel,figure_id,title,gate,validation_domain,applicability,status,figure_png,figure_svg,figure_pdf,source_data,caption,provenance_json,reviewer_note
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,F,F03_qgain_between_segment_mad_db_distribution,Distribution of Between-segment MAD,G7,Empirical plausibility,REQUIRED,PASS,figures/png/F03_qgain_between_segment_mad_db_distribution.png,figures/svg/F03_qgain_between_segment_mad_db_distribution.svg,figures/pdf/F03_qgain_between_segment_mad_db_distribution.pdf,source_data/F03_qgain_between_segment_mad_db_distribution.csv,captions/F03_qgain_between_segment_mad_db_distribution.md,provenance/F03_qgain_between_segment_mad_db_distribution.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,F,F04_qgain_abs_drift_db_per_min_distribution,Distribution of Absolute drift,G7,Empirical plausibility,REQUIRED,PASS,figures/png/F04_qgain_abs_drift_db_per_min_distribution.png,figures/svg/F04_qgain_abs_drift_db_per_min_distribution.svg,figures/pdf/F04_qgain_abs_drift_db_per_min_distribution.pdf,source_data/F04_qgain_abs_drift_db_per_min_distribution.csv,captions/F04_qgain_abs_drift_db_per_min_distribution.md,provenance/F04_qgain_abs_drift_db_per_min_distribution.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G01_qgain_typical_speech_level_dbfs_q05_trajectory,Signal-linked Typical speech level q05,G7,Interpretability,REQUIRED,PASS,figures/png/G01_qgain_typical_speech_level_dbfs_q05_trajectory.png,figures/svg/G01_qgain_typical_speech_level_dbfs_q05_trajectory.svg,figures/pdf/G01_qgain_typical_speech_level_dbfs_q05_trajectory.pdf,source_data/G01_qgain_typical_speech_level_dbfs_q05_trajectory.csv,captions/G01_qgain_typical_speech_level_dbfs_q05_trajectory.md,provenance/G01_qgain_typical_speech_level_dbfs_q05_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G02_qgain_typical_speech_level_dbfs_q95_trajectory,Signal-linked Typical speech level q95,G7,Interpretability,REQUIRED,PASS,figures/png/G02_qgain_typical_speech_level_dbfs_q95_trajectory.png,figures/svg/G02_qgain_typical_speech_level_dbfs_q95_trajectory.svg,figures/pdf/G02_qgain_typical_speech_level_dbfs_q95_trajectory.pdf,source_data/G02_qgain_typical_speech_level_dbfs_q95_trajectory.csv,captions/G02_qgain_typical_speech_level_dbfs_q95_trajectory.md,provenance/G02_qgain_typical_speech_level_dbfs_q95_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G03_qgain_within_segment_iqr_db_q05_trajectory,Signal-linked Within-segment IQR q05,G7,Interpretability,REQUIRED,PASS,figures/png/G03_qgain_within_segment_iqr_db_q05_trajectory.png,figures/svg/G03_qgain_within_segment_iqr_db_q05_trajectory.svg,figures/pdf/G03_qgain_within_segment_iqr_db_q05_trajectory.pdf,source_data/G03_qgain_within_segment_iqr_db_q05_trajectory.csv,captions/G03_qgain_within_segment_iqr_db_q05_trajectory.md,provenance/G03_qgain_within_segment_iqr_db_q05_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G04_qgain_within_segment_iqr_db_q95_trajectory,Signal-linked Within-segment IQR q95,G7,Interpretability,REQUIRED,PASS,figures/png/G04_qgain_within_segment_iqr_db_q95_trajectory.png,figures/svg/G04_qgain_within_segment_iqr_db_q95_trajectory.svg,figures/pdf/G04_qgain_within_segment_iqr_db_q95_trajectory.pdf,source_data/G04_qgain_within_segment_iqr_db_q95_trajectory.csv,captions/G04_qgain_within_segment_iqr_db_q95_trajectory.md,provenance/G04_qgain_within_segment_iqr_db_q95_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G05_qgain_between_segment_mad_db_q05_trajectory,Signal-linked Between-segment MAD q05,G7,Interpretability,REQUIRED,PASS,figures/png/G05_qgain_between_segment_mad_db_q05_trajectory.png,figures/svg/G05_qgain_between_segment_mad_db_q05_trajectory.svg,figures/pdf/G05_qgain_between_segment_mad_db_q05_trajectory.pdf,source_data/G05_qgain_between_segment_mad_db_q05_trajectory.csv,captions/G05_qgain_between_segment_mad_db_q05_trajectory.md,provenance/G05_qgain_between_segment_mad_db_q05_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G06_qgain_between_segment_mad_db_q95_trajectory,Signal-linked Between-segment MAD q95,G7,Interpretability,REQUIRED,PASS,figures/png/G06_qgain_between_segment_mad_db_q95_trajectory.png,figures/svg/G06_qgain_between_segment_mad_db_q95_trajectory.svg,figures/pdf/G06_qgain_between_segment_mad_db_q95_trajectory.pdf,source_data/G06_qgain_between_segment_mad_db_q95_trajectory.csv,captions/G06_qgain_between_segment_mad_db_q95_trajectory.md,provenance/G06_qgain_between_segment_mad_db_q95_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G07_qgain_abs_drift_db_per_min_q05_trajectory,Signal-linked Absolute drift q05,G7,Interpretability,REQUIRED,PASS,figures/png/G07_qgain_abs_drift_db_per_min_q05_trajectory.png,figures/svg/G07_qgain_abs_drift_db_per_min_q05_trajectory.svg,figures/pdf/G07_qgain_abs_drift_db_per_min_q05_trajectory.pdf,source_data/G07_qgain_abs_drift_db_per_min_q05_trajectory.csv,captions/G07_qgain_abs_drift_db_per_min_q05_trajectory.md,provenance/G07_qgain_abs_drift_db_per_min_q05_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,G,G08_qgain_abs_drift_db_per_min_q95_trajectory,Signal-linked Absolute drift q95,G7,Interpretability,REQUIRED,PASS,figures/png/G08_qgain_abs_drift_db_per_min_q95_trajectory.png,figures/svg/G08_qgain_abs_drift_db_per_min_q95_trajectory.svg,figures/pdf/G08_qgain_abs_drift_db_per_min_q95_trajectory.pdf,source_data/G08_qgain_abs_drift_db_per_min_q95_trajectory.csv,captions/G08_qgain_abs_drift_db_per_min_q95_trajectory.md,provenance/G08_qgain_abs_drift_db_per_min_q95_trajectory.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,H,H01_repeated_recording_persistence,Repeated-recording persistence,G8,Reliability,REQUIRED,PASS,figures/png/H01_repeated_recording_persistence.png,figures/svg/H01_repeated_recording_persistence.svg,figures/pdf/H01_repeated_recording_persistence.pdf,source_data/H01_repeated_recording_persistence.csv,captions/H01_repeated_recording_persistence.md,provenance/H01_repeated_recording_persistence.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,H,H02_within_family_redundancy,Within-family redundancy,G8,Reliability and redundancy,REQUIRED,PASS,figures/png/H02_within_family_redundancy.png,figures/svg/H02_within_family_redundancy.svg,figures/pdf/H02_within_family_redundancy.pdf,source_data/H02_within_family_redundancy.csv,captions/H02_within_family_redundancy.md,provenance/H02_within_family_redundancy.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,H,H03_subject_balanced_weighting_sensitivity,Subject-balanced sensitivity,G8,Reliability and redundancy,REQUIRED,PASS,figures/png/H03_subject_balanced_weighting_sensitivity.png,figures/svg/H03_subject_balanced_weighting_sensitivity.svg,figures/pdf/H03_subject_balanced_weighting_sensitivity.pdf,source_data/H03_subject_balanced_weighting_sensitivity.csv,captions/H03_subject_balanced_weighting_sensitivity.md,provenance/H03_subject_balanced_weighting_sensitivity.json,
QGAIN,qgain-v4.1.0,qgain-v4.1.0-figures-v1.0.0,J,J01_ml_interface_contract,ML interface contract,G10,Quality-aware ML handoff,OPTIONAL,PASS,figures/png/J01_ml_interface_contract.png,figures/svg/J01_ml_interface_contract.svg,figures/pdf/J01_ml_interface_contract.pdf,source_data/J01_ml_interface_contract.csv,captions/J01_ml_interface_contract.md,provenance/J01_ml_interface_contract.json,
